date,clothing,coffee,cosmetics,dessert,education,food,fuel,health,market & shopping,money_transfer,other,subscriptions,transportation,travel,total_spent,log_total_spent,phase,weekday,is_weekend
2024-11-05,0.0,0.0,0.0,0.0,0.0,210.0,0.0,0.0,0.0,134.43,0.0,0.0,0.0,0.0,344.43,5.84479001776017,Follicular,1,0
2024-11-06,0.0,0.0,0.0,0.0,0.0,220.0,0.0,0.0,1199.0,0.0,102.0,0.0,0.0,0.0,1521.0,7.3277805384216315,Follicular,2,0
2024-11-07,0.0,0.0,0.0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,455.0,6.1224928095143865,Follicular,3,0
2024-11-08,0.0,250.0,0.0,0.0,500.0,164.0,0.0,0.0,0.0,7622.04,0.0,0.0,0.0,0.0,8536.04,9.052169622486035,Follicular,4,0
2024-11-09,0.0,0.0,0.0,0.0,0.0,320.0,0.0,0.0,0.0,304.43,0.0,0.0,0.0,0.0,624.4300000000001,6.438439413172899,Follicular,5,1
2024-11-10,0.0,0.0,0.0,480.0,0.0,660.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1140.5,7.04009846596985,Follicular,6,1
2024-11-11,0.0,0.0,999.0,0.0,0.0,0.0,0.0,0.0,0.0,204.43,2299.7799999999997,0.0,311.0,0.0,3814.21,8.24675098807515,Ovulation,0,0
2024-11-12,0.0,0.0,0.0,0.0,0.0,304.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.8,5.722931293494962,Ovulation,1,0
2024-11-13,0.0,0.0,0.0,0.0,0.0,330.0,0.0,0.0,0.0,134.43,0.0,0.0,2968.1200000000003,0.0,3432.55,8.141349990354584,Luteal,2,0
2024-11-14,0.0,0.0,0.0,0.0,219.0,580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,799.0,6.684611727667927,Luteal,3,0
2024-11-15,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0,200.0,0.0,71.0,0.0,685.0,6.530877627725885,Luteal,4,0
2024-11-18,0.0,0.0,0.0,0.0,0.0,429.0,0.0,0.0,0.0,0.0,19.0,0.0,70.0,0.0,518.0,6.251903883165888,Luteal,0,0
2024-11-19,0.0,0.0,0.0,0.0,0.0,563.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,563.0,6.335054251498059,Luteal,1,0
2024-11-20,0.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,304.43,11.0,0.0,0.0,0.0,465.43,6.145107955437664,Luteal,2,0
2024-11-21,0.0,0.0,0.0,0.0,200.0,225.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,467.0,6.148468295917647,Luteal,3,0
2024-11-22,0.0,200.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,271.0,5.605802066295998,Luteal,4,0
2024-11-23,0.0,200.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,471.0,0.0,0.0,0.0,871.0,6.77078942390898,Luteal,5,1
2024-11-24,0.0,100.0,0.0,0.0,0.0,785.0,0.0,0.0,1299.0,0.0,466.75,0.0,60.0,0.0,2710.75,7.905349461920327,Luteal,6,1
2024-11-25,0.0,0.0,0.0,0.0,500.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,765.0,6.641182169740591,Luteal,0,0
2024-11-26,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,59.99,0.0,0.0,214.99,5.375232110316162,Luteal,1,0
2024-11-27,0.0,50.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,5.583496308781699,Luteal,2,0
2024-11-28,0.0,0.0,0.0,0.0,60.0,240.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,320.0,5.771441123130016,Luteal,3,0
2024-11-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,80.0,4.394449154672439,Menstruation,4,0
2024-11-30,3650.0,250.0,0.0,0.0,0.0,239.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,4156.0,8.332548939252638,Luteal,5,1
2024-12-01,0.0,0.0,0.0,0.0,0.0,415.0,0.0,0.0,81.75,304.43,11.0,0.0,242.0,0.0,1054.18,6.961466647470637,Follicular,6,1
